real.identity,ID,sample.eu,sample.eu.val,sample.ieu,sample.ieu.val,sample.cos,sample.cos.val,bt.species.eu.score,bt.species.ieu.score,bt.species.cos.score,reference,species.cos,hits.cos,species.eu,hits.eu,species.ieu,hits.ieu
Coscinodiscus _wailesii,ID00770,ID00767,0.448987829,ID00769,0.655004768,ID00766,0.930067269,1,0.996,0.984,wailesii,wailesii,TRUE,wailesii,TRUE,wailesii,TRUE
Coscinodiscus _wailesii,ID00771,ID00763,0.517122731,ID00767,0.467544266,ID00475,0.780111526,1,0.458,0.642,wailesii,radiatus,FALSE,wailesii,TRUE,wailesii,TRUE
Thalassiosira _punctigera,ID00418,ID00424,0.283464947,ID00424,0.500365727,ID00419,0.714216624,0.958,0.982,0.894,punctigera,punctigera,TRUE,punctigera,TRUE,punctigera,TRUE
Thalassiosira _punctigera,ID00419,ID00427,0.298860222,ID00427,0.51042184,ID00427,0.834353434,0.94,1,0.99,punctigera,punctigera,TRUE,punctigera,TRUE,punctigera,TRUE
Thalassiosira _punctigera,ID00420,ID00425,0.450545962,ID00425,0.711386757,ID00425,0.968451438,0.986,0.996,0.762,punctigera,punctigera,TRUE,punctigera,TRUE,punctigera,TRUE
Thalassiosira _punctigera,ID00421,ID00425,0.378395729,ID00425,0.710059857,ID00420,0.958921806,0.998,1,0.842,punctigera,punctigera,TRUE,punctigera,TRUE,punctigera,TRUE
Thalassiosira _punctigera,ID00422,ID00423,0.316315267,ID00423,0.610342144,ID00423,0.873050353,1,1,0.944,punctigera,punctigera,TRUE,punctigera,TRUE,punctigera,TRUE
Thalassiosira _punctigera,ID00423,ID00420,0.363174996,ID00420,0.657374618,ID00420,0.926550087,0.966,1,0.97,punctigera,punctigera,TRUE,punctigera,TRUE,punctigera,TRUE
Thalassiosira _punctigera,ID00424,ID00427,0.449434297,ID00427,0.711682122,ID00427,0.940225456,1,1,0.982,punctigera,punctigera,TRUE,punctigera,TRUE,punctigera,TRUE
Thalassiosira _punctigera,ID00425,ID00420,0.450545962,ID00420,0.711386757,ID00420,0.968451438,0.996,0.952,0.734,punctigera,punctigera,TRUE,punctigera,TRUE,punctigera,TRUE
Thalassiosira _punctigera,ID00426,ID00422,0.294433196,ID00422,0.518618376,ID00422,0.779634926,0.988,0.996,0.816,punctigera,punctigera,TRUE,punctigera,TRUE,punctigera,TRUE
Thalassiosira _punctigera,ID00427,ID00424,0.449434297,ID00424,0.711682122,ID00424,0.940225456,1,1,0.886,punctigera,punctigera,TRUE,punctigera,TRUE,punctigera,TRUE
Thalassiosira _punctigera,ID00428,ID00421,0.294587708,ID00427,0.515733005,ID00425,0.776607891,1,0.968,0.576,punctigera,punctigera,TRUE,punctigera,TRUE,punctigera,TRUE
