"","real.identity","ID","sample.eu","sample.eu.val","sample.ieu","sample.ieu.val","sample.cos","sample.cos.val","bt.species.eu.score","bt.species.ieu.score","bt.species.cos.score","reference","species.cos","hits.cos","species.eu","hits.eu","species.ieu","hits.ieu"
"57","Coscinodiscus _granii","ID00741","ID00743",0.373952505818119,"ID00725",0.594269560336779,"ID00742",0.799070491173077,0.992,0.966,0.636,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"58","Coscinodiscus _granii","ID00742","ID00730",0.399224283164356,"ID00726",0.598560022912882,"ID00726",0.846385330937674,0.818,0.962,0.74,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"59","Coscinodiscus _granii","ID00743","ID00741",0.373952505818119,"ID00744",0.605724216085911,"ID00744",0.881520325702121,1,0.998,0.808,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"60","Coscinodiscus _granii","ID00744","ID00743",0.369441454654542,"ID00743",0.605724216085911,"ID00743",0.881520325702121,0.994,0.858,0.624,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"61","Coscinodiscus _granii","ID00745","ID00736",0.311050488458186,"ID00718",0.622212986573893,"ID00718",0.948505152436608,1,1,0.738,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"62","Coscinodiscus _granii","ID00746","ID00737",0.406584813705513,"ID00737",0.634823015653606,"ID00740",0.930519253594239,1,0.994,0.674,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"63","Coscinodiscus _granii","ID00714","ID00771",0.272182161640778,"ID00474",0.499694688241869,"ID00764",0.911152774740588,0.786,0.662,0.536,"granii","wailesii",FALSE,"wailesii",FALSE,"radiatus",FALSE
"64","Coscinodiscus _granii","ID00715","ID00717",0.455347939720082,"ID00717",0.678018609527377,"ID00718",0.9633990954871,0.992,0.986,0.69,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"65","Coscinodiscus _granii","ID00716","ID00715",0.371918480955871,"ID00720",0.630559234411246,"ID00721",0.903149460507542,1,1,0.652,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"66","Coscinodiscus _granii","ID00717","ID00718",0.458381589612099,"ID00718",0.719286999341173,"ID00718",0.969479588643967,0.816,0.994,0.712,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"67","Coscinodiscus _granii","ID00718","ID00717",0.458381589612099,"ID00717",0.719286999341173,"ID00717",0.969479588643967,0.994,0.888,0.514,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"68","Coscinodiscus _granii","ID00719","ID00478",0.465331607340011,"ID00478",0.685117696306161,"ID00722",0.937876351135539,0.998,0.79,0.568,"granii","granii",TRUE,"radiatus",FALSE,"radiatus",FALSE
"69","Coscinodiscus _granii","ID00720","ID00716",0.36616329285462,"ID00716",0.630559234411246,"ID00715",0.925378538315473,0.922,0.926,0.752,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"70","Coscinodiscus _granii","ID00721","ID00734",0.278357320979949,"ID00716",0.577951923148575,"ID00716",0.903149460507542,0.998,1,0.918,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"71","Coscinodiscus _granii","ID00722","ID00725",0.38671152111902,"ID00719",0.648247883850004,"ID00719",0.937876351135539,0.972,0.996,0.854,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"72","Coscinodiscus _granii","ID00723","ID00766",0.398470504041035,"ID00476",0.602191124474997,"ID00476",0.920877139170662,0.348,0.916,0.416,"granii","radiatus",FALSE,"wailesii",FALSE,"radiatus",FALSE
"73","Coscinodiscus _granii","ID00724","ID00452",0.351851424486669,"ID00720",0.615752892188959,"ID00720",0.903782238177746,0.928,0.852,0.668,"granii","granii",TRUE,"diadema",FALSE,"granii",TRUE
"74","Coscinodiscus _granii","ID00725","ID00726",0.469307016614589,"ID00726",0.706221925338374,"ID00726",0.943073631327783,1,1,0.836,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"75","Coscinodiscus _granii","ID00726","ID00725",0.469307016614589,"ID00725",0.706221925338374,"ID00725",0.943073631327783,1,0.992,0.682,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"76","Coscinodiscus _granii","ID00727","ID00728",0.444781561299068,"ID00728",0.646849186945702,"ID00730",0.924686513721376,1,0.994,0.926,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
"77","Coscinodiscus _granii","ID00728","ID00727",0.444781561299068,"ID00730",0.666335626632779,"ID00730",0.941609468343639,1,1,0.958,"granii","granii",TRUE,"granii",TRUE,"granii",TRUE
